HAPPINESS,AGE,INCOME,EDUCATION,MARITAL_STATUS,GENDER,EMPLOYMENT_STATUS,HEALTH,RELIGION,SOCIAL_CONTACT,POLITICAL_VIEWS
Very Happy,71.0,44148.0,13.0,Married,,Retired,Good,Not Religious,13.0,Moderate
Pretty Happy,56.0,90346.0,,Divorced,Female,Retired,,Religious,16.0,Liberal
Pretty Happy,80.0,102026.0,8.0,Married,Male,Employed,Good,,18.0,Moderate
Pretty Happy,57.0,114762.0,15.0,Single,Male,Employed,Excellent,Religious,2.0,Liberal
Pretty Happy,51.0,82359.0,14.0,Single,Male,Employed,Fair,Religious,15.0,Conservative
Not Too Happy,75.0,27619.0,18.0,,,Employed,,,8.0,Liberal
Pretty Happy,77.0,42002.0,18.0,Single,Male,Employed,Fair,Religious,16.0,Conservative
Very Happy,60.0,62666.0,16.0,Single,Male,Employed,Good,,14.0,Conservative
Pretty Happy,23.0,22338.0,10.0,Divorced,Male,Employed,Good,Religious,4.0,Moderate
Pretty Happy,,149124.0,9.0,Married,Male,Unemployed,Fair,,18.0,Moderate
,46.0,133829.0,8.0,Divorced,,Unemployed,Good,Not Religious,0.0,Moderate
Pretty Happy,70.0,,10.0,Married,Female,Employed,Good,Religious,0.0,Moderate
Pretty Happy,25.0,141245.0,12.0,Divorced,,Student,,Religious,4.0,Liberal
Pretty Happy,79.0,129489.0,18.0,Married,Female,Employed,Good,Religious,15.0,Liberal
Pretty Happy,38.0,135158.0,9.0,Single,Male,Employed,Excellent,Religious,5.0,Moderate
Very Happy,83.0,46833.0,19.0,Married,Female,Employed,Excellent,Religious,17.0,Moderate
Very Happy,,39562.0,10.0,Single,Female,Retired,Good,Religious,5.0,Moderate
Very Happy,,48907.0,11.0,Married,Male,Employed,Excellent,Religious,,Liberal
Pretty Happy,53.0,34883.0,14.0,Divorced,Female,Employed,Excellent,Religious,7.0,Liberal
Pretty Happy,21.0,77268.0,10.0,Divorced,Male,Unemployed,Excellent,Not Religious,0.0,Liberal
Pretty Happy,24.0,,16.0,Married,Female,Employed,Excellent,Religious,19.0,Liberal
Not Too Happy,24.0,138023.0,15.0,,Male,Unemployed,,Not Religious,9.0,Liberal
Very Happy,,115796.0,11.0,Single,Female,,Poor,Not Religious,12.0,Liberal
Pretty Happy,68.0,23016.0,8.0,Single,Male,Student,Excellent,Not Religious,10.0,Liberal
Pretty Happy,66.0,89490.0,8.0,Married,Female,Employed,Good,Not Religious,19.0,Conservative
Very Happy,66.0,62697.0,8.0,Married,Female,,Excellent,Religious,9.0,Liberal
Very Happy,23.0,62399.0,,Married,Female,Employed,Poor,Religious,12.0,Moderate
Very Happy,32.0,146614.0,15.0,Married,,Employed,Excellent,Religious,0.0,Liberal
Very Happy,75.0,,10.0,Divorced,Female,Employed,Poor,,7.0,Conservative
Not Too Happy,51.0,,13.0,Married,Female,Employed,Good,Not Religious,16.0,Moderate
Not Too Happy,64.0,133075.0,10.0,Divorced,Male,Student,Excellent,Religious,9.0,Liberal
Pretty Happy,74.0,26699.0,18.0,Married,Male,Student,Fair,Not Religious,3.0,Moderate
Not Too Happy,33.0,56731.0,12.0,Single,Female,Employed,Good,Religious,17.0,
Not Too Happy,24.0,28422.0,14.0,Single,Female,Employed,Excellent,,17.0,Moderate
Very Happy,50.0,27292.0,9.0,Divorced,Male,Employed,Fair,Religious,2.0,Liberal
Not Too Happy,31.0,86669.0,13.0,Married,Male,Employed,Poor,Religious,,Conservative
,34.0,34312.0,13.0,Married,Male,,Good,Religious,16.0,Moderate
Not Too Happy,,81455.0,18.0,Married,Female,Unemployed,Good,Not Religious,13.0,Liberal
Not Too Happy,,64889.0,10.0,Married,Female,Retired,Fair,Religious,7.0,Moderate
Pretty Happy,81.0,42845.0,13.0,Married,Female,Retired,Good,Not Religious,13.0,Liberal
Very Happy,47.0,100863.0,,Married,Female,Employed,Fair,Not Religious,13.0,Conservative
,21.0,22357.0,17.0,Married,Male,Unemployed,Good,Not Religious,,Moderate
Pretty Happy,82.0,94219.0,12.0,Single,Male,Employed,Excellent,Religious,4.0,Moderate
Not Too Happy,,57505.0,,Married,Male,Employed,Poor,Not Religious,3.0,Liberal
Not Too Happy,58.0,113169.0,9.0,,Male,Employed,,,,Conservative
Very Happy,27.0,28826.0,16.0,Married,Female,Employed,,Religious,17.0,Moderate
Pretty Happy,58.0,95174.0,15.0,,Female,Employed,Good,,2.0,Liberal
Pretty Happy,40.0,124061.0,10.0,,Male,Employed,Good,Religious,13.0,Liberal
Very Happy,23.0,19679.0,15.0,Single,Male,Student,Excellent,Religious,10.0,Liberal
Very Happy,25.0,54868.0,16.0,Single,Female,Employed,Fair,Religious,4.0,Conservative
Pretty Happy,76.0,39708.0,,Married,Female,Employed,Good,Not Religious,12.0,
Not Too Happy,51.0,93579.0,10.0,Single,Male,Employed,Good,Religious,14.0,Moderate
Pretty Happy,26.0,,9.0,Married,Female,Unemployed,,,0.0,Liberal
Pretty Happy,68.0,69282.0,15.0,,Female,Employed,Good,,,Liberal
Pretty Happy,34.0,52260.0,17.0,Single,,Student,Excellent,Religious,,Moderate
Pretty Happy,,,8.0,Divorced,Female,Retired,Excellent,Not Religious,7.0,Conservative
Not Too Happy,75.0,146049.0,15.0,,Male,Employed,Poor,Religious,17.0,Moderate
Not Too Happy,69.0,119443.0,14.0,Single,,Unemployed,Excellent,Religious,4.0,Conservative
Very Happy,46.0,29788.0,14.0,Single,Female,Employed,Good,Religious,14.0,
Pretty Happy,60.0,28128.0,10.0,Married,Female,Employed,Good,Religious,4.0,Liberal
Pretty Happy,63.0,53092.0,8.0,Married,Female,Retired,Good,Religious,,Liberal
Very Happy,74.0,68806.0,11.0,Married,Male,Employed,,Not Religious,17.0,Moderate
Very Happy,70.0,141013.0,16.0,Married,Female,Employed,Good,Religious,15.0,Conservative
Pretty Happy,87.0,62014.0,12.0,Married,Female,,Good,Not Religious,20.0,Conservative
Pretty Happy,76.0,116749.0,8.0,Married,,Employed,Poor,,14.0,Liberal
Very Happy,,26189.0,12.0,Married,Female,Student,Excellent,Religious,17.0,Liberal
Very Happy,60.0,80046.0,15.0,Single,Female,,Good,Religious,,Liberal
Not Too Happy,47.0,116589.0,15.0,Single,Female,Retired,Good,Religious,9.0,Conservative
Very Happy,24.0,21698.0,12.0,Widowed,Male,Employed,Good,Not Religious,7.0,Conservative
Very Happy,36.0,60504.0,19.0,Married,Female,Retired,Good,Not Religious,,Moderate
,59.0,38233.0,16.0,Single,Female,Employed,Excellent,Not Religious,4.0,Liberal
Not Too Happy,79.0,69057.0,8.0,Divorced,Female,Employed,Excellent,Religious,13.0,Moderate
Very Happy,75.0,124414.0,11.0,Single,Female,Retired,Fair,Religious,3.0,Moderate
Pretty Happy,60.0,35465.0,10.0,,Male,Employed,Good,Religious,12.0,Liberal
Pretty Happy,55.0,66965.0,9.0,Single,,Employed,Good,Not Religious,0.0,Moderate
Very Happy,34.0,36356.0,15.0,Married,Female,Employed,Excellent,Religious,3.0,Liberal
Pretty Happy,64.0,123048.0,14.0,Married,,,Excellent,Religious,8.0,Liberal
Pretty Happy,70.0,51537.0,16.0,,Male,Employed,Excellent,Religious,13.0,Conservative
Pretty Happy,61.0,118315.0,,Single,Female,Student,Excellent,Religious,5.0,Moderate
Pretty Happy,83.0,145207.0,11.0,,,Employed,Good,Religious,19.0,Moderate
Pretty Happy,42.0,116391.0,13.0,Divorced,Female,Employed,Fair,Religious,12.0,Moderate
Very Happy,50.0,144767.0,18.0,Single,Male,Retired,,Not Religious,5.0,Liberal
Not Too Happy,72.0,33418.0,10.0,Married,Male,Unemployed,Good,Not Religious,5.0,Moderate
Pretty Happy,28.0,134997.0,15.0,Divorced,Male,Retired,Excellent,Religious,3.0,Moderate
Very Happy,20.0,28242.0,10.0,Married,Male,Student,Good,Religious,17.0,Moderate
Very Happy,63.0,67443.0,19.0,Widowed,Female,Employed,Excellent,Religious,1.0,Moderate
Pretty Happy,71.0,86929.0,9.0,Single,,Employed,Poor,Not Religious,16.0,Liberal
Pretty Happy,45.0,139291.0,10.0,Married,Male,Employed,Good,Not Religious,17.0,Liberal
Very Happy,,97748.0,18.0,Single,Female,Retired,Poor,Not Religious,18.0,Moderate
Pretty Happy,58.0,128063.0,13.0,,Female,,Fair,Not Religious,0.0,Liberal
Very Happy,22.0,124884.0,9.0,,Male,Employed,Good,Religious,12.0,Moderate
Pretty Happy,51.0,84871.0,15.0,Widowed,Female,Employed,,Not Religious,13.0,Liberal
Very Happy,65.0,,8.0,Single,Male,Employed,,Religious,,Liberal
Pretty Happy,42.0,98000.0,14.0,Single,Female,Retired,Good,,3.0,Liberal
Pretty Happy,,21985.0,9.0,Divorced,Female,Employed,Poor,Not Religious,3.0,Conservative
Not Too Happy,44.0,122248.0,17.0,Single,Male,Employed,Excellent,Religious,4.0,Liberal
Very Happy,,131479.0,19.0,Married,Male,,Fair,Religious,5.0,Moderate
Pretty Happy,30.0,42383.0,13.0,Divorced,Male,Retired,Good,Religious,2.0,Moderate
Very Happy,55.0,90041.0,19.0,Married,Male,,Fair,Religious,1.0,Liberal
Not Too Happy,78.0,40180.0,9.0,Single,Female,Unemployed,Poor,Not Religious,19.0,Moderate
Not Too Happy,25.0,37845.0,,Divorced,Male,Employed,Good,Religious,16.0,Moderate
Very Happy,60.0,140027.0,17.0,Single,Male,Employed,Good,Religious,18.0,Moderate
,40.0,147507.0,15.0,Single,Male,Retired,Good,,3.0,Conservative
Not Too Happy,,,19.0,Single,Male,Student,Fair,Religious,1.0,Liberal
Pretty Happy,81.0,138547.0,,Married,Female,Employed,Poor,Religious,13.0,Liberal
Pretty Happy,81.0,53561.0,14.0,Divorced,Male,Employed,Fair,Religious,8.0,Conservative
Very Happy,53.0,142216.0,10.0,Married,Female,Employed,Good,Religious,17.0,Liberal
Very Happy,45.0,116582.0,15.0,,Male,Employed,Good,Not Religious,7.0,Moderate
Not Too Happy,,47375.0,,Married,,Retired,Fair,Not Religious,7.0,Moderate
Not Too Happy,,37687.0,15.0,Single,,Employed,Good,Religious,,Liberal
,72.0,77857.0,14.0,Single,Male,,Fair,,9.0,Moderate
Pretty Happy,54.0,107504.0,18.0,Divorced,Female,Employed,Good,,16.0,Liberal
Pretty Happy,41.0,81948.0,13.0,Married,Female,Employed,Excellent,Not Religious,,Liberal
Pretty Happy,,48782.0,14.0,Married,Male,Employed,,,18.0,Liberal
Not Too Happy,79.0,62119.0,12.0,Married,Male,Employed,Good,Not Religious,7.0,Conservative
Not Too Happy,30.0,101736.0,,Married,Male,Employed,,Not Religious,5.0,Liberal
Pretty Happy,29.0,26741.0,8.0,,,Retired,Excellent,Not Religious,10.0,Moderate
Pretty Happy,39.0,110911.0,8.0,Married,,Employed,Good,Not Religious,,
Very Happy,29.0,26192.0,16.0,Married,Male,Employed,Excellent,Religious,3.0,
Very Happy,30.0,27686.0,12.0,Married,Male,Student,Good,Religious,15.0,Moderate
Not Too Happy,82.0,49283.0,,Married,Female,Unemployed,Fair,Not Religious,7.0,Moderate
Pretty Happy,36.0,44931.0,10.0,Married,Female,Retired,,Religious,4.0,Liberal
Very Happy,,110841.0,12.0,Married,Female,Employed,Fair,Religious,19.0,Moderate
Very Happy,29.0,108913.0,10.0,Single,Male,Employed,Poor,Religious,12.0,Moderate
,78.0,35648.0,16.0,Divorced,Male,Employed,Good,Religious,10.0,Conservative
,68.0,148466.0,16.0,Single,Female,Employed,Excellent,Not Religious,4.0,Conservative
Very Happy,43.0,53182.0,13.0,Widowed,Female,Employed,Good,Religious,8.0,Conservative
Pretty Happy,50.0,38813.0,8.0,Married,Female,Student,Fair,Religious,8.0,Conservative
Pretty Happy,67.0,22453.0,14.0,Single,Male,Employed,Good,Not Religious,3.0,Moderate
Pretty Happy,25.0,81199.0,14.0,Widowed,Female,Employed,Excellent,,14.0,Moderate
Very Happy,44.0,95368.0,17.0,Married,Female,Employed,Fair,Religious,9.0,Conservative
Pretty Happy,,118590.0,17.0,Divorced,Male,Employed,Excellent,Religious,18.0,Liberal
Very Happy,45.0,119240.0,11.0,Married,Male,Unemployed,Good,Religious,14.0,Conservative
Pretty Happy,25.0,27181.0,,,Female,Employed,Excellent,Religious,6.0,Moderate
Pretty Happy,50.0,92644.0,13.0,Married,Male,Retired,Good,Religious,10.0,Moderate
Pretty Happy,64.0,43175.0,11.0,Single,,Student,Good,Religious,0.0,Moderate
Not Too Happy,77.0,38398.0,,Single,Female,Employed,Excellent,Not Religious,0.0,
,38.0,65911.0,,Single,Female,Employed,Good,Religious,10.0,
Pretty Happy,66.0,75303.0,,Married,,Student,Good,Religious,7.0,Moderate
Very Happy,49.0,65529.0,19.0,Married,Male,Retired,Fair,Religious,4.0,Moderate
Pretty Happy,,65144.0,11.0,Married,Male,Employed,Fair,Religious,15.0,Liberal
Very Happy,31.0,105817.0,12.0,Married,Female,,Good,Not Religious,17.0,Moderate
Very Happy,,87746.0,15.0,Divorced,Male,Employed,Fair,Religious,6.0,Moderate
Not Too Happy,29.0,147436.0,13.0,Married,Female,Student,Good,Religious,3.0,Moderate
Pretty Happy,47.0,71416.0,11.0,Divorced,Male,Employed,Good,Religious,15.0,Liberal
Not Too Happy,50.0,97121.0,,Divorced,Male,Employed,Excellent,Not Religious,18.0,Moderate
Pretty Happy,52.0,128709.0,14.0,Married,Female,,Good,Religious,10.0,Moderate
Pretty Happy,18.0,89289.0,15.0,Single,Female,Employed,,Religious,11.0,Moderate
Pretty Happy,59.0,68497.0,9.0,,Male,Employed,Excellent,Religious,10.0,Liberal
Pretty Happy,35.0,32212.0,19.0,Married,Male,,Good,Not Religious,13.0,Conservative
Pretty Happy,39.0,146505.0,14.0,Married,Female,Student,Fair,,12.0,Moderate
Very Happy,83.0,103913.0,9.0,Single,Male,Retired,Good,Religious,10.0,Moderate
Pretty Happy,72.0,33513.0,9.0,,Female,Retired,Excellent,Religious,18.0,Moderate
Very Happy,39.0,131406.0,15.0,Single,Male,Employed,Good,Religious,15.0,Liberal
Very Happy,67.0,87804.0,9.0,Single,Female,Retired,Good,Not Religious,3.0,Moderate
Pretty Happy,,142034.0,18.0,,Female,Employed,Good,,2.0,Moderate
Very Happy,20.0,,16.0,Single,Male,Employed,Good,Religious,4.0,Moderate
Not Too Happy,33.0,97370.0,19.0,Single,Female,,Good,Religious,,Moderate
Not Too Happy,,,8.0,Married,,Employed,Fair,,1.0,Moderate
Not Too Happy,18.0,99169.0,16.0,Married,Male,Employed,Excellent,Religious,8.0,Liberal
Pretty Happy,20.0,32482.0,8.0,Single,Female,Employed,Poor,Religious,0.0,Moderate
Very Happy,75.0,88392.0,17.0,Married,Male,Employed,Good,Religious,17.0,Liberal
Not Too Happy,57.0,113912.0,17.0,Single,Female,,Excellent,Religious,,Liberal
Pretty Happy,27.0,146827.0,9.0,Married,Male,Employed,Good,Religious,11.0,Conservative
Not Too Happy,53.0,94299.0,13.0,Married,Male,Retired,Excellent,Not Religious,5.0,Moderate
Not Too Happy,,77428.0,13.0,Married,Male,Employed,Excellent,Not Religious,7.0,Moderate
Not Too Happy,47.0,109177.0,8.0,Married,Male,Employed,Good,Not Religious,9.0,Moderate
Very Happy,,140907.0,14.0,Single,Male,,Fair,Religious,14.0,Conservative
Pretty Happy,40.0,,15.0,Married,Female,Retired,Poor,Not Religious,3.0,Moderate
Not Too Happy,41.0,90198.0,,Single,Female,Unemployed,Good,Religious,10.0,
Pretty Happy,31.0,68023.0,15.0,Divorced,Female,Student,,Religious,,Liberal
Very Happy,33.0,36524.0,16.0,Single,Male,Unemployed,,Not Religious,10.0,Conservative
Pretty Happy,29.0,87120.0,13.0,Single,Male,Employed,Good,Religious,4.0,Conservative
Not Too Happy,47.0,80605.0,12.0,Married,Male,,Fair,Religious,18.0,Conservative
Pretty Happy,74.0,119695.0,,Married,Male,Student,Fair,Religious,19.0,Liberal
Pretty Happy,66.0,30528.0,16.0,Single,Female,Retired,Fair,Religious,15.0,Liberal
Very Happy,30.0,58000.0,19.0,Married,Male,Employed,Good,Religious,19.0,Liberal
Pretty Happy,66.0,127728.0,18.0,Single,Male,Employed,Good,Religious,,Liberal
Not Too Happy,21.0,84587.0,16.0,Married,Female,Unemployed,Excellent,Not Religious,,Conservative
Very Happy,44.0,37799.0,8.0,Single,Male,Retired,Poor,,16.0,Liberal
Pretty Happy,60.0,33275.0,18.0,Divorced,Male,Employed,Excellent,Religious,13.0,Liberal
Not Too Happy,70.0,94242.0,10.0,Divorced,Male,Retired,Excellent,,15.0,Liberal
Pretty Happy,18.0,84373.0,16.0,Single,Male,Student,Excellent,Religious,1.0,Liberal
,76.0,29999.0,18.0,Single,Female,Employed,Fair,Not Religious,1.0,Liberal
Pretty Happy,,50727.0,,Single,Male,Retired,,,10.0,Moderate
Pretty Happy,65.0,98156.0,19.0,Single,Male,Employed,Good,Religious,19.0,Moderate
Very Happy,40.0,50742.0,11.0,Married,Male,,Poor,Religious,4.0,Liberal
Not Too Happy,,25560.0,11.0,Married,Male,Employed,Poor,Not Religious,5.0,Moderate
Not Too Happy,,91327.0,,Married,Male,Employed,,Not Religious,7.0,Moderate
Not Too Happy,,31935.0,10.0,Widowed,,Retired,Excellent,Religious,14.0,Liberal
Not Too Happy,,116055.0,10.0,Married,Female,,,Religious,2.0,Moderate
Pretty Happy,29.0,115510.0,8.0,Single,Female,Employed,Poor,Religious,18.0,Moderate
Pretty Happy,37.0,,13.0,Single,Male,Employed,Good,Religious,16.0,Moderate
Pretty Happy,,145385.0,15.0,Single,Female,Employed,Good,Religious,12.0,Moderate
Pretty Happy,23.0,34581.0,19.0,Single,Female,Employed,Excellent,Not Religious,4.0,Liberal
Pretty Happy,55.0,21679.0,10.0,Married,Male,Unemployed,Fair,Religious,8.0,Conservative
Pretty Happy,66.0,134658.0,12.0,Single,Female,Employed,,Not Religious,4.0,Conservative
Not Too Happy,77.0,76266.0,8.0,Divorced,Male,Retired,Good,Religious,13.0,Conservative
Pretty Happy,80.0,47289.0,17.0,Married,Male,Retired,Excellent,Religious,6.0,Liberal
Pretty Happy,19.0,27201.0,14.0,Married,Female,Employed,Poor,Religious,4.0,Conservative
,25.0,39224.0,17.0,Single,Male,Retired,Good,Religious,,Conservative
Pretty Happy,81.0,138886.0,8.0,Divorced,Female,Employed,,Religious,11.0,Conservative
Very Happy,40.0,,19.0,Married,,Employed,Good,Religious,7.0,Liberal
Pretty Happy,31.0,140572.0,18.0,Single,Female,Employed,,Religious,16.0,Moderate
Pretty Happy,80.0,49771.0,16.0,Divorced,Female,Employed,Good,Religious,4.0,Conservative
,50.0,121215.0,,Married,,,Fair,Religious,5.0,Moderate
Pretty Happy,44.0,,14.0,Widowed,Male,Retired,Good,Religious,8.0,Moderate
,27.0,41564.0,17.0,Single,Male,Employed,Poor,Religious,17.0,Conservative
Very Happy,59.0,33432.0,14.0,Single,Male,Retired,Excellent,Religious,17.0,Moderate
Not Too Happy,48.0,40265.0,12.0,Single,Male,Employed,Excellent,Religious,,
Pretty Happy,55.0,62358.0,12.0,Married,,Retired,Excellent,Religious,14.0,Moderate
Very Happy,20.0,,18.0,Married,Female,Employed,Good,,12.0,Conservative
Pretty Happy,23.0,43469.0,12.0,,Female,Employed,Good,Not Religious,12.0,Liberal
Pretty Happy,67.0,71582.0,8.0,Married,Female,,Fair,,16.0,
,58.0,62123.0,15.0,,Male,Employed,Fair,Religious,0.0,Moderate
Pretty Happy,,38218.0,19.0,Divorced,Male,Employed,Good,Religious,14.0,Moderate
Very Happy,66.0,41813.0,18.0,Divorced,Male,Retired,Poor,Not Religious,14.0,Moderate
Very Happy,48.0,84455.0,8.0,Single,Female,Employed,Excellent,Religious,4.0,Conservative
Pretty Happy,73.0,68704.0,11.0,Divorced,Female,Retired,Fair,Religious,10.0,
Pretty Happy,32.0,45853.0,16.0,,Female,Unemployed,Good,Not Religious,8.0,Liberal
Pretty Happy,49.0,107807.0,16.0,Married,Female,Retired,Good,Religious,4.0,
Pretty Happy,54.0,71019.0,12.0,Married,Female,,Fair,,0.0,Liberal
Not Too Happy,44.0,99248.0,11.0,Single,Male,Employed,,Religious,10.0,Liberal
,,124030.0,10.0,Single,Male,Student,Excellent,Religious,,Moderate
Pretty Happy,49.0,52144.0,10.0,Married,Female,Unemployed,Good,Not Religious,15.0,Conservative
